,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
4022,1,0.2989,1.6431,-0.463,13.6525,351.6143,349.6874,P13_V1,H4,1
4023,2,0.2994,1.6428,-0.4627,13.7508,351.5983,349.5727,P13_V1,H4,2
4024,3,0.2998,1.6425,-0.4625,13.8905,351.5883,349.4501,P13_V1,H4,3
4025,4,0.3003,1.6421,-0.4622,14.2025,351.6345,349.3365,P13_V1,H4,4
4026,5,0.3007,1.6417,-0.4621,14.3963,351.7025,349.2443,P13_V1,H4,5
4027,6,0.3009,1.6414,-0.4621,14.532,351.7526,349.1966,P13_V1,H4,6
4028,8,0.3014,1.6409,-0.4621,14.7843,351.8105,349.094,P13_V1,H4,7
4029,9,0.3015,1.6409,-0.4622,14.8207,351.7542,349.0601,P13_V1,H4,8
4030,10,0.3016,1.6408,-0.4623,14.8586,351.485,348.9641,P13_V1,H4,9
4031,11,0.3014,1.6408,-0.4624,14.8685,351.3009,348.9525,P13_V1,H4,10
4032,12,0.3008,1.641,-0.4625,14.8477,350.8751,348.9573,P13_V1,H4,11
4033,13,0.2996,1.6413,-0.4627,14.7014,350.0996,349.1775,P13_V1,H4,12
4034,14,0.299,1.6416,-0.4628,14.7528,349.8166,349.2193,P13_V1,H4,13
4035,16,0.2967,1.6419,-0.4634,14.6474,349.0528,349.4547,P13_V1,H4,14
4036,17,0.2953,1.6422,-0.4639,14.5893,348.7194,349.7827,P13_V1,H4,15
4037,18,0.2944,1.6424,-0.4643,14.6032,348.6171,349.9688,P13_V1,H4,16
4038,19,0.2929,1.643,-0.4646,14.5176,348.321,350.3533,P13_V1,H4,17
4039,20,0.2914,1.6437,-0.4646,14.4127,348.1579,350.7596,P13_V1,H4,18
4040,21,0.2892,1.645,-0.4642,14.171,347.6693,351.2715,P13_V1,H4,19
4041,22,0.2872,1.6461,-0.4635,14.1367,347.2789,351.6239,P13_V1,H4,20
4042,23,0.2838,1.6469,-0.4621,14.2568,346.5917,352.2107,P13_V1,H4,21
4043,24,0.2813,1.6469,-0.461,14.6023,346.0605,352.5742,P13_V1,H4,22
4044,25,0.2751,1.6459,-0.4592,15.6037,344.9879,353.0252,P13_V1,H4,23
