x,y,z,rx,ry,rz
0.79485,1.5287,2.955,3.1599,-13.803,-1.1507
0.79444,1.5283,2.9548,3.4032,-13.985,-1.1259
0.79437,1.5282,2.9548,3.4422,-14.011,-1.123
0.79414,1.528,2.9547,3.5535,-14.09,-1.1163
0.794,1.528,2.9547,3.6436,-14.153,-1.1073
0.79384,1.5279,2.9547,3.7287,-14.207,-1.1038
0.79365,1.5278,2.9546,3.8108,-14.26,-1.0985
0.7935,1.5277,2.9545,3.8908,-14.307,-1.0941
0.79335,1.5276,2.9544,3.968,-14.349,-1.089
0.79321,1.5276,2.9544,4.0406,-14.386,-1.0835
0.79314,1.5275,2.9543,4.1157,-14.422,-1.0747
0.793,1.5275,2.9542,4.1834,-14.45,-1.0692
0.79285,1.5274,2.9541,4.2464,-14.471,-1.066
0.79273,1.5274,2.954,4.3075,-14.486,-1.059
0.79261,1.5274,2.954,4.3661,-14.496,-1.0516
0.7925,1.5274,2.9539,4.4221,-14.5,-1.0441
0.79241,1.5274,2.9538,4.4748,-14.495,-1.0382
0.79231,1.5274,2.9537,4.522,-14.482,-1.0317
0.79224,1.5275,2.9536,4.5732,-14.468,-1.0258
0.79215,1.5275,2.9535,4.6137,-14.444,-1.0199
0.79207,1.5276,2.9535,4.6509,-14.416,-1.0182
0.792,1.5277,2.9534,4.6836,-14.378,-1.0131
0.79203,1.5278,2.9535,4.7142,-14.329,-1.0096
0.79197,1.5279,2.9534,4.7424,-14.284,-1.0061
0.79191,1.528,2.9533,4.7718,-14.239,-1.0026
0.79187,1.5282,2.9532,4.7846,-14.167,-1.0042
0.79191,1.5283,2.9531,4.8083,-14.106,-0.99899
0.79188,1.5285,2.953,4.823,-14.037,-0.99834
0.79185,1.5286,2.9529,4.8339,-13.965,-0.99633
0.79185,1.5289,2.9529,4.8423,-13.892,-0.99578
0.79183,1.5291,2.9528,4.8487,-13.813,-0.99419
0.79181,1.5293,2.9526,4.8526,-13.733,-0.99205
0.79181,1.5294,2.9525,4.8525,-13.649,-0.98966
0.79178,1.5297,2.9524,4.8521,-13.564,-0.98768
0.79178,1.5299,2.9523,4.848,-13.477,-0.98449
0.79172,1.5301,2.9522,4.8492,-13.387,-0.98442
0.79173,1.5303,2.9521,4.8407,-13.295,-0.98144
0.79177,1.5306,2.9521,4.8301,-13.202,-0.98149
0.79178,1.5308,2.952,4.8168,-13.108,-0.98102
0.79186,1.531,2.952,4.8016,-13.008,-0.98003
0.79188,1.5313,2.9519,4.784,-12.912,-0.98063
0.79188,1.5315,2.9518,4.7654,-12.817,-0.98364
0.79191,1.5317,2.9517,4.7449,-12.722,-0.98555
0.79194,1.532,2.9515,4.7288,-12.627,-0.98957
0.79197,1.5322,2.9514,4.7046,-12.532,-0.99386
0.79201,1.5324,2.9514,4.6807,-12.441,-1.0017
0.79204,1.5326,2.9513,4.6555,-12.35,-1.0086
0.79208,1.5328,2.9512,4.6278,-12.259,-1.016
0.79214,1.533,2.9511,4.6009,-12.17,-1.0231
0.79221,1.5332,2.9511,4.574,-12.082,-1.0302
0.79226,1.5334,2.951,4.5449,-11.998,-1.0397
0.79227,1.5336,2.9509,4.5211,-11.915,-1.0501
0.79231,1.5337,2.9508,4.4901,-11.834,-1.06
0.79236,1.5339,2.9508,4.4586,-11.757,-1.0736
0.79241,1.5341,2.9507,4.4269,-11.681,-1.084
0.79247,1.5343,2.9506,4.3942,-11.61,-1.0955
0.79246,1.5344,2.9503,4.3624,-11.545,-1.1077
0.79251,1.5346,2.9503,4.3284,-11.476,-1.1199
0.79257,1.5347,2.9502,4.2951,-11.411,-1.134
0.79262,1.5349,2.9501,4.2606,-11.347,-1.1484
0.79273,1.535,2.95,4.2297,-11.286,-1.163
0.79279,1.5351,2.9499,4.1943,-11.226,-1.1794
0.79283,1.5352,2.9498,4.163,-11.175,-1.1971
0.7929,1.5354,2.9497,4.119,-11.104,-1.2177
0.79293,1.5355,2.9495,4.0837,-11.054,-1.2351
0.79299,1.5356,2.9494,4.0462,-11.001,-1.2518
0.79307,1.5357,2.9494,4.0101,-10.951,-1.2681
0.79312,1.5358,2.9493,3.9728,-10.905,-1.2827
0.79313,1.5359,2.9492,3.9411,-10.859,-1.2983
0.79319,1.536,2.9491,3.9037,-10.818,-1.3149
0.79325,1.5361,2.949,3.8671,-10.78,-1.3349
0.79331,1.5362,2.9489,3.8299,-10.744,-1.3496
0.79337,1.5362,2.9488,3.7923,-10.709,-1.3651
0.79343,1.5363,2.9488,3.7549,-10.677,-1.3807
0.7935,1.5364,2.9487,3.7153,-10.65,-1.3946
0.79356,1.5364,2.9486,3.6762,-10.624,-1.41
0.79365,1.5365,2.9485,3.6407,-10.603,-1.4254
0.79373,1.5365,2.9484,3.6014,-10.583,-1.4415
0.79381,1.5365,2.9483,3.562,-10.567,-1.4537
0.79389,1.5366,2.9483,3.5236,-10.555,-1.4704
0.79397,1.5366,2.9482,3.4819,-10.545,-1.4849
0.79402,1.5366,2.948,3.4408,-10.537,-1.5001
0.7941,1.5367,2.9479,3.3989,-10.528,-1.5138
0.79417,1.5367,2.9478,3.3566,-10.518,-1.5275
0.79426,1.5367,2.9477,3.3141,-10.511,-1.5434
0.79437,1.5367,2.9476,3.2755,-10.505,-1.557
0.79446,1.5367,2.9476,3.2339,-10.497,-1.5705
0.79456,1.5368,2.9475,3.1954,-10.495,-1.5822
0.79465,1.5368,2.9474,3.1534,-10.49,-1.5944
0.79476,1.5368,2.9473,3.0974,-10.484,-1.607
0.79486,1.5368,2.9472,3.053,-10.48,-1.6178
0.79494,1.5368,2.9471,3.009,-10.478,-1.6271
0.79504,1.5369,2.947,2.964,-10.474,-1.6367
0.79502,1.5369,2.9469,2.9248,-10.473,-1.6476
0.79511,1.5369,2.9468,2.8809,-10.472,-1.6547
0.79518,1.5368,2.9467,2.8498,-10.473,-1.6605
0.7953,1.5368,2.9466,2.7961,-10.473,-1.67
0.79539,1.5368,2.9466,2.7548,-10.477,-1.6757
0.79558,1.5368,2.9467,2.7125,-10.47,-1.6803
0.79569,1.5367,2.9467,2.6709,-10.474,-1.6844
0.79578,1.5367,2.9466,2.631,-10.48,-1.6855
0.79579,1.5367,2.9465,2.5947,-10.484,-1.6893
0.79588,1.5367,2.9465,2.5533,-10.491,-1.6906
0.79597,1.5366,2.9464,2.5131,-10.498,-1.6871
0.79607,1.5366,2.9463,2.4737,-10.508,-1.6859
0.79616,1.5366,2.9463,2.4331,-10.515,-1.6824
0.79628,1.5365,2.9462,2.3913,-10.521,-1.6786
0.79637,1.5365,2.9462,2.3493,-10.529,-1.6739
0.79648,1.5365,2.9462,2.3066,-10.534,-1.6685
0.79658,1.5365,2.9461,2.2648,-10.541,-1.6615
0.7966,1.5364,2.946,2.2244,-10.547,-1.6584
0.7967,1.5364,2.946,2.1806,-10.553,-1.6535
0.79681,1.5364,2.946,2.1426,-10.561,-1.6471
0.79692,1.5364,2.9459,2.0992,-10.567,-1.6419
0.79699,1.5364,2.9458,2.0553,-10.576,-1.6374
0.79709,1.5364,2.9457,2.0103,-10.583,-1.6317
0.79717,1.5364,2.9456,1.9673,-10.59,-1.6275
0.79727,1.5363,2.9456,1.9231,-10.597,-1.6223
0.79733,1.5363,2.9455,1.8809,-10.603,-1.6184
0.79743,1.5363,2.9455,1.8382,-10.61,-1.6132
0.79756,1.5363,2.9455,1.7962,-10.619,-1.6066
0.79766,1.5363,2.9454,1.7533,-10.626,-1.6006
0.79776,1.5362,2.9453,1.709,-10.634,-1.5946
0.79786,1.5362,2.9453,1.6667,-10.641,-1.5888
0.79799,1.5361,2.9453,1.6234,-10.644,-1.5816
0.7981,1.5361,2.9452,1.5794,-10.65,-1.5753
0.79822,1.5361,2.9452,1.5376,-10.655,-1.5692
0.79833,1.536,2.9452,1.4947,-10.661,-1.5631
0.79844,1.536,2.9451,1.4512,-10.665,-1.5587
0.79855,1.5359,2.9451,1.4085,-10.672,-1.5527
0.79866,1.5359,2.945,1.3648,-10.677,-1.5497
0.79874,1.5359,2.9449,1.3208,-10.684,-1.5465
0.79886,1.5358,2.9449,1.2763,-10.688,-1.5431
0.79899,1.5358,2.9449,1.2309,-10.692,-1.5383
0.7991,1.5357,2.9448,1.1859,-10.695,-1.5388
0.7992,1.5357,2.9448,1.1421,-10.7,-1.537
0.79932,1.5357,2.9448,1.094,-10.704,-1.5373
0.79945,1.5357,2.9448,1.0534,-10.711,-1.5366
0.79961,1.5356,2.9448,0.99497,-10.721,-1.5394
0.79971,1.5356,2.9447,0.94631,-10.73,-1.5418
0.79984,1.5356,2.9446,0.89683,-10.738,-1.5462
0.79997,1.5355,2.9446,0.84746,-10.747,-1.5502
0.80011,1.5355,2.9446,0.79724,-10.758,-1.5552
0.80016,1.5354,2.9446,0.74797,-10.768,-1.5615
0.8003,1.5354,2.9446,0.69666,-10.78,-1.5691
0.80046,1.5354,2.9446,0.64606,-10.793,-1.5771
0.80061,1.5354,2.9446,0.59433,-10.807,-1.5861
0.80072,1.5353,2.9445,0.54181,-10.825,-1.5958
0.80086,1.5353,2.9445,0.48925,-10.839,-1.6063
0.801,1.5353,2.9444,0.43682,-10.853,-1.6175
0.80116,1.5352,2.9444,0.38441,-10.865,-1.6298
0.80145,1.5352,2.9444,0.33314,-10.88,-1.639
0.80161,1.5351,2.9444,0.28,-10.893,-1.6519
0.80178,1.5351,2.9444,0.22688,-10.905,-1.6654
0.80193,1.535,2.9444,0.17383,-10.917,-1.6798
0.80211,1.5349,2.9444,0.12093,-10.928,-1.6937
0.80224,1.5349,2.9443,0.067336,-10.941,-1.7073
0.80242,1.5349,2.9443,0.012502,-10.95,-1.7231
0.80261,1.5348,2.9443,-0.040428,-10.957,-1.7368
0.80279,1.5348,2.9443,-0.094853,-10.964,-1.7515
0.80293,1.5347,2.9443,-0.14896,-10.972,-1.7688
0.80311,1.5347,2.9443,-0.2062,-10.981,-1.7834
0.80329,1.5346,2.9443,-0.25765,-10.99,-1.797
0.80348,1.5346,2.9443,-0.31488,-11.0,-1.811
0.80365,1.5346,2.9443,-0.37243,-11.012,-1.8253
0.80384,1.5345,2.9443,-0.43082,-11.024,-1.8383
